"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN"
"C1","1","10uF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","","FK20X7S1H106KR000"
"C2","1","1uF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","","RCER72A105K2DBH03A"
"C3","1","0.1uF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","","C320C104K5R5TA"
"D1","1","LED","","","","LED_THT:LED_D5.0mm","~","SSL-LX3054ID"
"J1","1","Barrel_Jack_Switch","","","","Connector_BarrelJack:BarrelJack_Horizontal","~","EJ508B"
"J2,J5","2","Screw_Terminal_01x02","","","","Custom Footprints ZRL:TerminalBlock_bornier-2_P5.08mm","~","1729128"
"J3,J7","2","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","TSW-101-24-G-T"
"J4,J6","2","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","67997-402HLF"
"R1,R2","2","330","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","ROX1SJ330R"
"R3","1","560","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","ROX1SJ560R"
"S1","1","EG1218","","","","Custom Footprints ZRL:Switch_Slide_11.6x4mm_EG1218","","EG1218"
"U1","1","LM317_TO-220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf","LM317T"
"U2","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","LM7805CT/NOPB"
